"ID","Name","Distance (mi)","Moving time (s)","Elapsed time (s)","Elevation gain (ft)","Avg speed (mph)","Max speed (mph)","Avg cadence","Avg temp (C)","Avg HR","Max HR","Calories","Shoes","Start timestamp (local)","Start Lat","Start Lng","End Lat","End Lng","City","State","Country","Achievements","Kudos","Workout type"
"171882110","02/05/2013","1.02575956415","602","602","0.0","6.13367931281","9.61882605583","","","","","131.1","Reebok","2013-2-5 12:46:2","37.88","-122.28","37.88","-122.29","","","United States","0","0","0"
"171911056","02/13/2013","1.10324455182","627","627","34.7769028871","6.3350035791","8.72405153901","","","","","144.1","Reebok","2013-2-13 14:8:58","37.88","-122.29","37.88","-122.29","","","United States","0","0","0"
"171911055","02/14/2013","1.24615992603","694","694","35.7611548556","6.46474588404","10.5136005727","","","","","164.6","Reebok","2013-2-14 12:17:13","37.88","-122.29","37.88","-122.29","","","United States","0","0","0"
"171911057","02/17/2013 Berkeley, CA","1.24522786924","702","702","77.7559055118","6.38645311382","10.0662133142","","","","","164.2","Reebok","2013-2-17 12:56:29","37.88","-122.27","37.88","-122.27","Berkeley","CA","United States","0","0","0"
"171911058","02/20/2013","0.951319295315","483","483","39.6981627297","7.09108804581","11.1846814603","","","","","124.4","Reebok","2013-2-20 9:17:39","37.88","-122.29","37.88","-122.29","","","United States","0","0","0"
"171911924","02/23/2013","1.48998598187","840","840","0.0","6.38645311382","0.0","","","","","193.8","Reebok","2013-2-23 20:28:0","","","","","","","United States","0","0","0"
"171912133","02/25/2013","1.76003390201","960","960","0.0","6.59896206156","0.0","","","","","228.9","Reebok","2013-2-25 18:41:0","","","","","","","United States","0","0","0"
"171912943","03/04/2013 Berkeley, CA","2.03809751054","1216","1230","0.0","6.03301717967","13.4216177523","","","","","252.8","Reebok","2013-3-4 11:38:13","37.88","-122.26","37.87","-122.27","Berkeley","CA","United States","0","0","0"
"171912945","03/05/2013 Berkeley, CA","2.31653394178","1356","1371","0.0","6.14933786686","10.2899069435","","","","","288.4","Reebok","2013-3-5 9:37:35","37.88","-122.26","37.87","-122.27","Berkeley","CA","United States","0","0","0"
"171912947","03/09/2013","2.02610504653","1199","1233","0.0","6.08446671439","9.61882605583","","","","","263.5","Reebok","2013-3-9 10:19:5","37.88","-122.29","37.88","-122.29","","","United States","0","0","0"
"171912956","03/11/2013","4.72024626183","3064","3081","240.157480315","5.545365068","11.6320687187","","","","","629.7","Reebok","2013-3-11 13:46:55","37.88","-122.29","37.87","-122.27","","","United States","0","0","0"
"171912949","03/13/2013 Berkeley, CA","2.68500705878","1473","1473","0.0","6.56317108089","10.0662133142","","","","","324.5","Reebok","2013-3-13 12:48:54","37.88","-122.26","37.88","-122.29","Berkeley","CA","United States","1","0","0"
"171912955","03/17/2013","2.31137656088","1374","1456","142.060367454","6.05538654259","9.17143879742","","","","","309.3","Reebok","2013-3-17 11:7:38","37.88","-122.29","37.89","-122.29","","","United States","0","0","0"
"171912954","03/25/2013","2.48797025372","1481","1481","168.635170604","6.04867573372","9.61882605583","","","","","340.4","Reebok","2013-3-25 12:20:26","37.88","-122.29","37.87","-122.26","","","United States","0","0","0"
"171920383","03/27/2013","3.15998319812","1800","1800","0.0","6.31934502505","0.0","","","","","411.0","Reebok","2013-3-27 20:47:0","","","","","","","United States","0","0","0"
"171912953","03/29/2013","2.39153344468","1280","1280","0.0","6.72646743021","7.82927702219","","","","","307.1","Reebok","2013-3-29 17:1:0","37.88","-122.29","37.88","-122.3","","","United States","0","0","0"
"171922159","04/03/2013 Berkeley, CA","2.3628260956","1344","1414","127.624671916","6.32829277022","10.7372942019","","","","","309.6","Reebok","2013-4-3 12:28:54","37.88","-122.26","37.88","-122.26","Berkeley","CA","United States","0","0","0"
"171921547","04/05/2013","3.98000676052","2230","2230","0.0","6.42448103078","0.0","","","","","517.6","Reebok","2013-4-5 19:57:0","","","","","","","United States","0","0","0"
